"image_link","generated_output"
"https://a.espncdn.com/combiner/i?img=/i/editionsflags/usa.png","US flag: 50 stars on a blue canton, 13 alternating red and white stripes.
"
"https://a.espncdn.com/combiner/i?img=/i/editionsflags/usa.png","US flag: 50 stars on a blue canton, 13 alternating red and white stripes.
"
"https://a.espncdn.com/redesign/assets/img/logos/espnplus/ESPN+.svg",""
"https://a1.espncdn.com/combiner/i?img=%2Fi%2Fespn%2Fmisc_logos%2F500%2Fnhl.png&w=40&h=40","Grayscale NHL logo: stylized shield with ""NHL"" in sans-serif lettering.
"
"https://a.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dsoccer.png&w=80&h=80&scale=crop&cquality=40&location=origin","Grayscale soccer ball icon.
"
"https://a.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dsoccer.png&w=80&h=80&scale=crop&cquality=40&location=origin","Grayscale soccer ball icon.
"
"https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbasketball.png&w=80&h=80&scale=crop&cquality=40&location=origin","Cartoon basketball illustration.
"
"https://a3.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbaseball.png&w=80&h=80&scale=crop&cquality=40&location=origin","Simple illustration of a white baseball with reddish-brown seams.
"
"https://a3.espncdn.com/redesign/assets/img/icons/ESPN-icon-softball.png","Simplified graphic of a yellow softball with reddish-brown seams.
"
"https://a1.espncdn.com/combiner/i?img=%2Fi%2Fteamlogos%2Fleagues%2F500%2Fufc.png&w=60&h=60&scale=crop&cquality=80&location=origin","UFC logo:  Bold black ""UFC"" in a slightly slanted sans-serif font on a red background.
"
"https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbasketball.png&w=80&h=80&scale=crop&cquality=40&location=origin","Cartoon basketball illustration.
"
"https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbasketball.png&w=80&h=80&scale=crop&cquality=40&location=origin","Cartoon basketball illustration.
"
"https://chui-assets-cdn.espn.com/94763d98-7ffb-43e9-8604-4c7a47ab2451.png","Logo for a men's basketball league: white ""tC"" with a smaller red ""MEN'S"" above and an orange basketball to the right, on a black background.
"
"https://chui-assets-cdn.espn.com/6b54cfdf-fd65-4ffb-b9a5-3671b6800a23.png","Trinity Christian College Women's Basketball logo: white ""tC"" with orange basketball.
"
"https://a4.espncdn.com/combiner/i?img=%2Fi%2Fespn%2Fmisc_logos%2F500%2Fnfl.png&w=40&h=40","NFL logo: red ""NFL"" lettering on a navy blue shield with white stars and football.
"
"https://a4.espncdn.com/combiner/i?img=%2Fi%2Fteamlogos%2Fleagues%2F500%2Fnfl%2Ddraft.png&w=40&h=40","NFL Draft logo: a dark blue shield with a lighter blue inner shield containing a stylized NFL logo and the word ""DRAFT"" in large lettering.
"
"https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dbasketball.png&w=80&h=80&scale=crop&cquality=40&location=origin","Cartoon basketball illustration.
"
"https://a1.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Flogos%2Ficon-w2w-black.png&w=60&h=60&cquality=80&location=origin","Black background.
"
"https://chui-assets-cdn.espn.com/7eb9b89c-e39c-4026-bf36-c3bd791bed1b.png","TBT 2nd Chance logo:  White ""tC"" overlaid by an orange & black basketball, below a red ""2ND CHANCE"" banner.
"
"https://chui-assets-cdn.espn.com/74ae8df4-feb8-47c1-93f0-a46621a023ec.png","Logo for the Women's 2nd Chance basketball tournament: stylized ""tC"" with basketball, ""WOMEN'S"" above, and ""2ND CHANCE"" banner below.
"
"https://a1.espncdn.com/combiner/i?img=%2Fgames%2Flm%2Dstatic%2FBetting%2FBetting%2DHome.png&w=60&h=60&scale=crop&cquality=80&location=origin","Stylized gray box with a black dollar sign inside.
"
"https://a4.espncdn.com/combiner/i?img=%2Fredesign%2Fassets%2Fimg%2Ficons%2FESPN%2Dicon%2Dlisten02.png&w=80&h=80&scale=crop&cquality=40&location=origin","Microphone icon with blue sound waves, indicating audio recording or broadcast.
"
"https://a2.espncdn.com/combiner/i?img=%2Fi%2Ffantasy%2Fffl.png&w=60&h=60&scale=crop&cquality=80&location=origin","Green shield logo with a white football.
"
"https://a3.espncdn.com/combiner/i?img=%2Fi%2Ffantasy%2Fflb.png&w=60&h=60&scale=crop&cquality=80&location=origin","Logo: Light blue shield with a slightly flattened white baseball inside.
"
"https://a4.espncdn.com/combiner/i?img=%2Fi%2Ffantasy%2Ffhl.png&w=40&h=40","Hockey team logo: crossed hockey sticks on a teal shield.
"
"https://a2.espncdn.com/combiner/i?img=%2Fi%2Ffantasy%2Ffba.png&w=60&h=60&scale=crop&cquality=80&location=origin","Orange shield-shaped logo with a basketball; navy blue border and seams.
"
"https://a1.espncdn.com/combiner/i?img=%2Fi%2Ffantasy%2Fwfba.png&w=60&h=60&scale=crop&cquality=80&location=origin","Stylized dark red shield logo with navy blue outline, featuring a central basketball.
"
"https://a4.espncdn.com/combiner/i?img=%2Fandscape_black_onwhite.png&w=60&h=60&scale=crop&cquality=80&location=origin","Stylish black ampersand logo on white background.
"
